"No.","Time","Source","Destination","Src. Port","Dst. Port","Protocol","Length","Info"
"209832","15:17:14,711158","10.87.173.45","192.168.200.103","7074","49623","HTTP/XML","107","HTTP/1.1 200 OK "
"209834","15:17:14,808480","192.168.200.103","10.87.173.45","49623","7074","HTTP","270","GET /parental_light_sig/versions.id HTTP/1.1 "
"209837","15:17:14,811853","10.87.173.45","192.168.200.103","7074","49623","HTTP/XML","105","HTTP/1.1 200 OK "
"209839","15:17:14,974601","192.168.200.103","10.87.173.45","49623","7074","HTTP","268","GET /ot-eps-win-x86_64/versions.id HTTP/1.1 "
"209842","15:17:14,977799","10.87.173.45","192.168.200.103","7074","49623","HTTP/XML","106","HTTP/1.1 200 OK "
"209845","15:17:15,066413","192.168.200.103","10.87.173.45","49623","7074","HTTP","268","GET /wf-eps-win-x86_64/versions.id HTTP/1.1 "
"209849","15:17:15,069798","10.87.173.45","192.168.200.103","7074","49623","HTTP/XML","106","HTTP/1.1 200 OK "
"209851","15:17:15,182798","192.168.200.103","10.87.173.45","49623","7074","HTTP","258","GET /atc-sig-busi/versions.id HTTP/1.1 "
"209854","15:17:15,186131","10.87.173.45","192.168.200.103","7074","49623","HTTP/XML","106","HTTP/1.1 200 OK "
"209856","15:17:15,316669","192.168.200.103","10.87.173.45","49623","7074","HTTP","260","GET /guster_eps_64/versions.id HTTP/1.1 "
"209862","15:17:15,619412","10.87.173.45","192.168.200.103","7074","49623","HTTP/XML","105","HTTP/1.1 200 OK "
"209865","15:17:15,783273","192.168.200.103","10.87.173.45","49623","7074","HTTP","262","GET /gemma-business/versions.id HTTP/1.1 "
"209869","15:17:15,844518","10.87.173.45","192.168.200.103","7074","49623","HTTP/XML","105","HTTP/1.1 200 OK "
"209871","15:17:15,999722","192.168.200.103","10.87.173.45","49623","7074","HTTP","264","GET /ctc2-win-64-eps/versions.id HTTP/1.1 "
"209874","15:17:16,005716","10.87.173.45","192.168.200.103","7074","49623","HTTP/XML","105","HTTP/1.1 200 OK "
